,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,male,male,male,male
0,1,0,3,male,22.0,1,0,7.25,1,True,1,True
1,2,1,1,female,38.0,1,0,71.2833,0,False,0,False
2,3,1,3,female,26.0,0,0,7.925,0,False,0,False
3,4,1,1,female,35.0,1,0,53.1,0,False,0,False
4,5,0,3,male,35.0,0,0,8.05,1,True,1,True
5,6,0,3,male,25.0,0,0,8.4583,1,True,1,True
6,7,0,1,male,54.0,0,0,51.8625,1,True,1,True
7,8,0,3,male,2.0,3,1,21.075,1,True,1,True
8,9,1,3,female,27.0,0,2,11.1333,0,False,0,False
9,10,1,2,female,14.0,1,0,30.0708,0,False,0,False
10,11,1,3,female,4.0,1,1,16.7,0,False,0,False
11,12,1,1,female,58.0,0,0,26.55,0,False,0,False
12,13,0,3,male,20.0,0,0,8.05,1,True,1,True
13,14,0,3,male,39.0,1,5,31.275,1,True,1,True
14,15,0,3,female,14.0,0,0,7.8542,0,False,0,False
15,16,1,2,female,55.0,0,0,16.0,0,False,0,False
16,17,0,3,male,2.0,4,1,29.125,1,True,1,True
17,18,1,2,male,30.0,0,0,13.0,1,True,1,True
18,19,0,3,female,31.0,1,0,18.0,0,False,0,False
19,20,1,3,female,25.0,0,0,7.225,0,False,0,False
20,21,0,2,male,35.0,0,0,26.0,1,True,1,True
21,22,1,2,male,34.0,0,0,13.0,1,True,1,True
22,23,1,3,female,15.0,0,0,8.0292,0,False,0,False
23,24,1,1,male,28.0,0,0,35.5,1,True,1,True
24,25,0,3,female,8.0,3,1,21.075,0,False,0,False
25,26,1,3,female,38.0,1,5,31.3875,0,False,0,False
26,27,0,3,male,25.0,0,0,7.225,1,True,1,True
27,28,0,1,male,19.0,3,2,263.0,1,True,1,True
28,29,1,3,female,25.0,0,0,7.8792,0,False,0,False
29,30,0,3,male,25.0,0,0,7.8958,1,True,1,True
30,31,0,1,male,40.0,0,0,27.7208,1,True,1,True
31,32,1,1,female,38.0,1,0,146.5208,0,False,0,False
32,33,1,3,female,25.0,0,0,7.75,0,False,0,False
33,34,0,2,male,66.0,0,0,10.5,1,True,1,True
34,35,0,1,male,28.0,1,0,82.1708,1,True,1,True
35,36,0,1,male,42.0,1,0,52.0,1,True,1,True
36,37,1,3,male,25.0,0,0,7.2292,1,True,1,True
37,38,0,3,male,21.0,0,0,8.05,1,True,1,True
38,39,0,3,female,18.0,2,0,18.0,0,False,0,False
39,40,1,3,female,14.0,1,0,11.2417,0,False,0,False
40,41,0,3,female,40.0,1,0,9.475,0,False,0,False
41,42,0,2,female,27.0,1,0,21.0,0,False,0,False
42,43,0,3,male,25.0,0,0,7.8958,1,True,1,True
43,44,1,2,female,3.0,1,2,41.5792,0,False,0,False
44,45,1,3,female,19.0,0,0,7.8792,0,False,0,False
45,46,0,3,male,25.0,0,0,8.05,1,True,1,True
46,47,0,3,male,25.0,1,0,15.5,1,True,1,True
47,48,1,3,female,25.0,0,0,7.75,0,False,0,False
48,49,0,3,male,25.0,2,0,21.6792,1,True,1,True
49,50,0,3,female,18.0,1,0,17.8,0,False,0,False
50,51,0,3,male,7.0,4,1,39.6875,1,True,1,True
51,52,0,3,male,21.0,0,0,7.8,1,True,1,True
52,53,1,1,female,49.0,1,0,76.7292,0,False,0,False
53,54,1,2,female,29.0,1,0,26.0,0,False,0,False
54,55,0,1,male,65.0,0,1,61.9792,1,True,1,True
55,56,1,1,male,38.0,0,0,35.5,1,True,1,True
56,57,1,2,female,21.0,0,0,10.5,0,False,0,False
57,58,0,3,male,28.5,0,0,7.2292,1,True,1,True
58,59,1,2,female,5.0,1,2,27.75,0,False,0,False
59,60,0,3,male,11.0,5,2,46.9,1,True,1,True
60,61,0,3,male,22.0,0,0,7.2292,1,True,1,True
61,62,1,1,female,38.0,0,0,80.0,0,False,0,False
62,63,0,1,male,45.0,1,0,83.475,1,True,1,True
63,64,0,3,male,4.0,3,2,27.9,1,True,1,True
64,65,0,1,male,38.0,0,0,27.7208,1,True,1,True
65,66,1,3,male,25.0,1,1,15.2458,1,True,1,True
66,67,1,2,female,29.0,0,0,10.5,0,False,0,False
67,68,0,3,male,19.0,0,0,8.1583,1,True,1,True
68,69,1,3,female,17.0,4,2,7.925,0,False,0,False
69,70,0,3,male,26.0,2,0,8.6625,1,True,1,True
70,71,0,2,male,32.0,0,0,10.5,1,True,1,True
71,72,0,3,female,16.0,5,2,46.9,0,False,0,False
72,73,0,2,male,21.0,0,0,73.5,1,True,1,True
73,74,0,3,male,26.0,1,0,14.4542,1,True,1,True
74,75,1,3,male,32.0,0,0,56.4958,1,True,1,True
75,76,0,3,male,25.0,0,0,7.65,1,True,1,True
76,77,0,3,male,25.0,0,0,7.8958,1,True,1,True
77,78,0,3,male,25.0,0,0,8.05,1,True,1,True
78,79,1,2,male,0.83,0,2,29.0,1,True,1,True
79,80,1,3,female,30.0,0,0,12.475,0,False,0,False
80,81,0,3,male,22.0,0,0,9.0,1,True,1,True
81,82,1,3,male,29.0,0,0,9.5,1,True,1,True
82,83,1,3,female,25.0,0,0,7.7875,0,False,0,False
83,84,0,1,male,28.0,0,0,47.1,1,True,1,True
84,85,1,2,female,17.0,0,0,10.5,0,False,0,False
85,86,1,3,female,33.0,3,0,15.85,0,False,0,False
86,87,0,3,male,16.0,1,3,34.375,1,True,1,True
87,88,0,3,male,25.0,0,0,8.05,1,True,1,True
88,89,1,1,female,23.0,3,2,263.0,0,False,0,False
89,90,0,3,male,24.0,0,0,8.05,1,True,1,True
90,91,0,3,male,29.0,0,0,8.05,1,True,1,True
91,92,0,3,male,20.0,0,0,7.8542,1,True,1,True
92,93,0,1,male,46.0,1,0,61.175,1,True,1,True
93,94,0,3,male,26.0,1,2,20.575,1,True,1,True
94,95,0,3,male,59.0,0,0,7.25,1,True,1,True
95,96,0,3,male,25.0,0,0,8.05,1,True,1,True
96,97,0,1,male,71.0,0,0,34.6542,1,True,1,True
97,98,1,1,male,23.0,0,1,63.3583,1,True,1,True
98,99,1,2,female,34.0,0,1,23.0,0,False,0,False
99,100,0,2,male,34.0,1,0,26.0,1,True,1,True
100,101,0,3,female,28.0,0,0,7.8958,0,False,0,False
101,102,0,3,male,25.0,0,0,7.8958,1,True,1,True
102,103,0,1,male,21.0,0,1,77.2875,1,True,1,True
103,104,0,3,male,33.0,0,0,8.6542,1,True,1,True
104,105,0,3,male,37.0,2,0,7.925,1,True,1,True
105,106,0,3,male,28.0,0,0,7.8958,1,True,1,True
106,107,1,3,female,21.0,0,0,7.65,0,False,0,False
107,108,1,3,male,25.0,0,0,7.775,1,True,1,True
108,109,0,3,male,38.0,0,0,7.8958,1,True,1,True
109,110,1,3,female,25.0,1,0,24.15,0,False,0,False
110,111,0,1,male,47.0,0,0,52.0,1,True,1,True
111,112,0,3,female,14.5,1,0,14.4542,0,False,0,False
112,113,0,3,male,22.0,0,0,8.05,1,True,1,True
113,114,0,3,female,20.0,1,0,9.825,0,False,0,False
114,115,0,3,female,17.0,0,0,14.4583,0,False,0,False
115,116,0,3,male,21.0,0,0,7.925,1,True,1,True
116,117,0,3,male,70.5,0,0,7.75,1,True,1,True
117,118,0,2,male,29.0,1,0,21.0,1,True,1,True
118,119,0,1,male,24.0,0,1,247.5208,1,True,1,True
119,120,0,3,female,2.0,4,2,31.275,0,False,0,False
120,121,0,2,male,21.0,2,0,73.5,1,True,1,True
121,122,0,3,male,25.0,0,0,8.05,1,True,1,True
